id;isHead;sHeadDate;sGHeadDate;sTotal;sTarget;isTarget;isNotOnlyTarget;cDaysBetween;isSameDay;isLater;isEarlier;cBus;cEmpl;cCust;isSameOrNever;isLaterOrNever;sGS;sG;sT;sS;isRep;isBF;cSMen;cAMen;dFirstSale;cWorkMonth;cSaleMonth;isServer;isBUCorp;is50lic;isEGG;isBuh;isZUP;isKPR;isUT;isBS;isAnyBuh;isBTOR;isService;isLicense;isPOS
230608;1;13000;13000;23730;0;0;0;0;0;0;0;3;5;1;1;1;15490;13000;0;2490;0;0;1;3;42430;5;5;0;0;0;0;1;0;0;0;0;1;0;1;0;0
1095412;1;1650;1650;1650;0;0;0;0;0;0;0;1;5;1;1;1;1650;1650;0;0;0;0;1;0;42467;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613540;1;1650;1650;1650;2300;1;1;0;1;0;0;1;2;1;1;0;1650;1650;0;0;0;0;1;1;42474;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0
613541;1;3300;3300;3300;0;0;0;0;0;0;0;1;1;1;1;1;3300;3300;0;0;0;0;1;1;42467;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613542;1;1650;1650;1650;0;0;0;0;0;0;0;1;1;1;1;1;1650;1650;0;0;0;0;1;0;42467;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613459;1;3300;3300;3300;4600;1;1;0;1;0;0;1;10;1;1;0;3300;3300;0;0;0;0;1;1;42467;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0
500705;1;4950;4950;4950;0;0;0;0;0;0;0;1;1;1;1;1;4950;4950;0;0;0;0;1;0;42439;2;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613558;1;1650;1650;1650;0;0;0;0;0;0;0;1;1;1;1;1;1650;1650;0;0;0;0;1;0;42468;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
1073792;1;3300;3300;3300;0;0;0;0;0;0;0;1;1;1;1;1;3300;3300;0;0;0;0;1;0;42468;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613566;1;1650;1650;1650;0;0;0;0;0;0;0;1;1;1;1;1;1650;1650;0;0;0;0;1;1;42468;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
986969;1;1650;1650;3900;0;0;0;0;0;0;0;2;0;1;1;1;3300;3300;0;0;0;0;1;0;42443;2;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0
894076;1;1650;1650;1650;0;0;0;0;0;0;0;1;1;1;1;1;1650;1650;0;0;0;0;1;1;42468;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613533;1;1650;1650;1650;0;0;0;0;0;0;0;1;1;1;1;1;1650;1650;0;0;0;0;1;1;42468;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613560;1;1650;1650;1650;0;0;0;0;0;0;0;1;1;1;1;1;1650;1650;0;0;0;0;1;1;42468;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
894836;1;3300;3300;3300;0;0;0;0;0;0;0;1;5;1;1;1;3300;3300;0;0;0;0;1;2;42468;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613479;1;1650;1650;7550;0;0;0;0;0;0;0;2;2;1;1;1;1650;1650;0;0;1;0;1;1;42468;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
875282;1;13150;13150;68075;0;0;0;0;0;0;0;3;5;1;1;1;45050;19450;0;25600;1;0;2;2;42451;8;8;0;0;0;0;1;0;0;0;0;1;0;1;1;0
758642;1;43000;43000;45490;0;0;0;0;0;0;0;2;30;1;1;1;45490;43000;0;2490;0;0;2;2;42471;5;2;0;0;0;0;1;0;0;1;0;1;0;1;1;0
